Grafo 0:
20 - 63
21 - 69
22 - 52
23 - 45
24 - 48
25 - 37
26 - 60
27 - 57
28 - 36
29 - 55
30 - 64
31 - 50
32 - 43
33 - 41
34 - 39
35 - 42
36 - 54
37 - 59
38 - 44
39 - 46
42 - 56
43 - 53
44 - 47
48 - 49

Grafo 12:
0 - 35
1 - 2
2 - 23
3 - 13
4 - 32
5 - 20
6 - 21
7 - 19
8 - 33
9 - 24
10 - 17
11 - 34
12 - 26
14 - 16
15 - 25
16 - 28
18 - 22
25 - 30
27 - 31

Grafo 13:
0 - 22
1 - 21
2 - 20
3 - 13
4 - 17
5 - 19
6 - 16
7 - 18
9 - 15
11 - 14

Grafo 14:
0 - 19
1 - 6
2 - 16
3 - 12
4 - 17
5 - 18
6 - 13
7 - 15
10 - 14

Grafo 15:
0 - 31
1 - 50
2 - 80
3 - 61
4 - 25
5 - 77
6 - 47
7 - 63
8 - 78
9 - 39
10 - 41
11 - 69
12 - 76
13 - 71
14 - 67
15 - 19
16 - 53
17 - 73
18 - 75
19 - 22
20 - 34
21 - 74
22 - 46
23 - 72
24 - 68
25 - 66
26 - 45
27 - 79
28 - 42
29 - 58
30 - 52
31 - 56
32 - 57
33 - 62
34 - 65
35 - 36
36 - 51
38 - 60
40 - 49
48 - 55
49 - 64
53 - 70

Grafo 16:
0 - 20
1 - 22
2 - 5
3 - 15
4 - 14
5 - 10
6 - 19
8 - 13
9 - 21
11 - 16
12 - 17
15 - 18

Grafo 17:
0 - 22
1 - 26
2 - 25
3 - 7
4 - 24
5 - 20
6 - 21
7 - 17
8 - 14
9 - 23
10 - 13
11 - 19
12 - 18
13 - 15

Grafo 18:
0 - 52
1 - 62
2 - 63
3 - 59
4 - 53
5 - 61
6 - 60
7 - 56
8 - 35
9 - 50
10 - 13
11 - 30
12 - 31
13 - 58
14 - 57
15 - 37
16 - 47
17 - 55
18 - 46
19 - 51
20 - 48
21 - 36
22 - 43
23 - 41
24 - 28
25 - 49
27 - 40
28 - 45
32 - 42
36 - 54
38 - 39
43 - 44

Grafo 19:
0 - 4
1 - 3
4 - 7
5 - 8

Grafo 20:
0 - 89
1 - 72
2 - 20
3 - 91
4 - 93
5 - 92
6 - 64
7 - 90
8 - 87
9 - 82
10 - 81
11 - 88
12 - 84
13 - 79
14 - 51
15 - 77
16 - 86
17 - 76
18 - 75
19 - 67
20 - 83
21 - 73
22 - 78
23 - 57
24 - 60
25 - 71
26 - 45
27 - 80
28 - 68
29 - 66
30 - 62
31 - 52
32 - 85
33 - 65
34 - 39
35 - 46
36 - 70
37 - 54
38 - 47
39 - 55
40 - 56
41 - 69
42 - 58
43 - 74
44 - 61
45 - 59
46 - 49
47 - 53
48 - 63

Grafo 21:
0 - 64
1 - 63
2 - 56
3 - 62
4 - 43
5 - 61
6 - 58
7 - 59
8 - 37
9 - 60
10 - 55
11 - 53
12 - 49
13 - 28
14 - 57
15 - 48
16 - 51
17 - 36
18 - 50
19 - 54
20 - 52
21 - 44
22 - 47
23 - 40
24 - 42
25 - 29
26 - 38
27 - 46
28 - 34
29 - 32
30 - 33
31 - 45
32 - 35
33 - 39

Grafo 22:
0 - 98
1 - 87
2 - 97
3 - 95
4 - 85
5 - 94
6 - 91
7 - 93
8 - 88
9 - 92
10 - 96
11 - 90
12 - 59
13 - 86
14 - 89
15 - 79
16 - 78
17 - 83
18 - 71
19 - 80
20 - 82
21 - 76
22 - 81
23 - 52
24 - 72
25 - 63
26 - 68
27 - 75
28 - 77
29 - 73
30 - 66
31 - 41
32 - 84
33 - 61
34 - 74
35 - 60
36 - 51
37 - 55
38 - 54
39 - 67
40 - 50
41 - 56
42 - 48
43 - 44
44 - 58
45 - 49
46 - 57
47 - 53
48 - 62
49 - 69
50 - 64
51 - 65
53 - 70

Grafo 23:
0 - 40
1 - 12
2 - 44
3 - 16
4 - 20
5 - 26
6 - 19
7 - 27
8 - 9
9 - 25
10 - 43
12 - 18
13 - 38
14 - 33
15 - 37
16 - 34
17 - 30
18 - 31
20 - 21
21 - 39
23 - 35
24 - 28
30 - 42
31 - 41
32 - 36

Grafo 24:
0 - 31
1 - 56
2 - 42
3 - 51
4 - 55
5 - 27
6 - 50
7 - 54
8 - 46
9 - 45
10 - 47
11 - 41
12 - 23
13 - 39
14 - 53
15 - 52
16 - 34
17 - 35
18 - 32
19 - 40
20 - 37
21 - 44
22 - 38
23 - 29
24 - 26
25 - 43
27 - 49
28 - 33
29 - 30
33 - 48

Grafo 25:
0 - 71
1 - 70
2 - 69
3 - 66
4 - 68
5 - 50
6 - 60
7 - 67
8 - 65
9 - 63
10 - 64
11 - 62
12 - 57
13 - 61
14 - 55
15 - 59
16 - 56
17 - 58
18 - 51
19 - 42
20 - 54
21 - 44
22 - 45
23 - 47
24 - 53
25 - 49
26 - 29
27 - 38
28 - 48
29 - 52
30 - 34
31 - 40
32 - 46
33 - 36
34 - 37
35 - 41
37 - 39
40 - 43

Grafo 26:
0 - 58
1 - 57
2 - 56
3 - 54
4 - 53
5 - 55
6 - 52
7 - 50
8 - 49
9 - 48
10 - 51
11 - 43
12 - 46
13 - 42
14 - 44
15 - 38
16 - 47
17 - 37
18 - 41
19 - 45
20 - 40
21 - 31
22 - 23
23 - 39
24 - 32
25 - 26
26 - 30
27 - 36
28 - 35
31 - 33
32 - 34

Grafo 27:
0 - 52
1 - 58
2 - 51
3 - 55
4 - 60
5 - 43
6 - 54
7 - 32
8 - 48
9 - 37
10 - 50
11 - 41
12 - 15
13 - 25
14 - 53
15 - 56
16 - 40
17 - 47
18 - 49
19 - 35
20 - 33
21 - 22
22 - 27
23 - 31
24 - 57
25 - 59
28 - 34
30 - 42
31 - 45
33 - 44
35 - 39
36 - 38

Grafo 28:
0 - 31
1 - 12
2 - 29
3 - 30
4 - 10
5 - 19
6 - 26
7 - 20
8 - 27
9 - 22
10 - 17
11 - 18
13 - 28
14 - 23
15 - 25
16 - 24

Grafo 29:
1 - 4
2 - 7
3 - 11

Grafo 30:
0 - 13
1 - 25
2 - 29
3 - 33
4 - 21
5 - 22
6 - 32
7 - 28
8 - 10
9 - 23
10 - 31
11 - 16
12 - 18
13 - 19
14 - 30
15 - 20
18 - 24
19 - 27
22 - 26

Grafo 31:
0 - 20
1 - 34
2 - 18
3 - 28
4 - 16
5 - 19
6 - 11
7 - 32
8 - 9
9 - 33
10 - 14
11 - 22
12 - 31
13 - 29
14 - 25
15 - 24
17 - 30
21 - 26
24 - 27

Grafo 32:
0 - 61
1 - 79
2 - 96
3 - 67
4 - 69
5 - 95
6 - 92
7 - 75
8 - 72
9 - 56
10 - 87
11 - 47
12 - 88
13 - 94
14 - 70
15 - 83
16 - 40
17 - 65
18 - 74
19 - 86
20 - 84
21 - 51
22 - 90
23 - 62
24 - 57
25 - 45
26 - 73
27 - 60
28 - 91
29 - 59
30 - 46
31 - 82
32 - 93
33 - 68
34 - 55
35 - 63
36 - 39
37 - 50
38 - 77
41 - 71
42 - 85
43 - 53
44 - 54
47 - 89
48 - 58
50 - 80
51 - 52
55 - 66
57 - 78
69 - 81
73 - 76

Grafo 33:
0 - 22
1 - 19
2 - 12
3 - 13
4 - 18
5 - 9
6 - 21
7 - 11
8 - 20
9 - 16
10 - 15
12 - 17

Grafo 34:
0 - 90
1 - 83
2 - 89
3 - 88
4 - 75
5 - 85
6 - 86
7 - 79
8 - 81
9 - 84
10 - 87
11 - 80
12 - 82
13 - 76
14 - 78
15 - 72
16 - 77
17 - 68
18 - 67
19 - 74
20 - 71
21 - 69
22 - 73
23 - 64
24 - 65
25 - 43
26 - 70
27 - 58
28 - 61
29 - 46
30 - 63
31 - 66
32 - 57
33 - 48
34 - 52
35 - 50
36 - 56
37 - 59
38 - 47
39 - 45
40 - 55
41 - 60
42 - 44
43 - 62
44 - 53
45 - 54
46 - 49
47 - 51

Grafo 35:
0 - 2

Grafo 36:
0 - 30
1 - 32
2 - 29
3 - 31
4 - 28
5 - 27
6 - 26
7 - 17
8 - 18
9 - 19
10 - 25
11 - 13
12 - 21
17 - 20
18 - 22
19 - 24

Grafo 37:
0 - 70
1 - 69
2 - 68
3 - 65
4 - 63
5 - 61
6 - 66
7 - 67
8 - 64
9 - 58
10 - 56
11 - 62
12 - 54
13 - 57
14 - 60
15 - 59
16 - 52
17 - 50
18 - 41
19 - 53
20 - 44
21 - 55
22 - 43
23 - 45
24 - 42
25 - 48
26 - 47
27 - 51
28 - 33
29 - 49
30 - 37
31 - 32
32 - 46
33 - 39
34 - 38
36 - 40

Grafo 38:
0 - 57
1 - 61
2 - 28
3 - 49
4 - 26
5 - 43
6 - 60
7 - 19
8 - 35
9 - 33
10 - 52
11 - 37
12 - 58
13 - 50
14 - 23
15 - 24
16 - 56
17 - 54
18 - 55
19 - 27
20 - 53
21 - 59
22 - 39
23 - 44
24 - 40
25 - 48
26 - 51
28 - 29
29 - 46
30 - 38
37 - 42
39 - 47
40 - 41
41 - 45

Grafo 39:
0 - 56
1 - 58
2 - 51
3 - 54
4 - 57
5 - 53
6 - 55
7 - 52
8 - 48
9 - 19
10 - 47
11 - 46
12 - 40
13 - 41
14 - 36
15 - 50
16 - 34
17 - 38
18 - 42
19 - 45
20 - 44
21 - 37
22 - 43
23 - 39
24 - 30
25 - 49
26 - 33
27 - 32
29 - 35
30 - 31

Grafo 40:
0 - 6
1 - 32
2 - 18
3 - 22
4 - 17
5 - 23
6 - 27
7 - 33
8 - 16
9 - 31
10 - 26
11 - 28
12 - 20
13 - 15
14 - 24
17 - 30
21 - 25

Grafo 41:
0 - 60
1 - 57
2 - 27
3 - 44
4 - 40
5 - 58
6 - 53
7 - 56
8 - 55
9 - 54
10 - 51
11 - 59
12 - 41
13 - 43
14 - 37
15 - 50
16 - 33
17 - 19
18 - 38
19 - 49
20 - 34
21 - 30
23 - 47
24 - 28
25 - 52
26 - 48
27 - 35
28 - 29
30 - 39
36 - 46
41 - 42

Grafo 42:
0 - 34
1 - 29
2 - 33
3 - 30
4 - 28
5 - 31
6 - 32
7 - 23
8 - 17
9 - 27
10 - 15
11 - 20
12 - 18
13 - 24
14 - 26
15 - 21
17 - 22
18 - 25

Grafo 43:
0 - 4
1 - 12
3 - 14
5 - 6
8 - 10
10 - 17
11 - 21
13 - 19
15 - 16

Grafo 44:
0 - 74
1 - 59
2 - 67
3 - 72
4 - 73
5 - 71
6 - 49
7 - 66
8 - 63
9 - 68
10 - 45
11 - 69
12 - 42
13 - 62
14 - 51
15 - 70
16 - 57
17 - 41
18 - 35
19 - 65
20 - 43
21 - 47
22 - 64
23 - 60
24 - 48
25 - 29
26 - 56
27 - 46
28 - 34
29 - 37
30 - 61
31 - 52
32 - 44
33 - 39
34 - 40
36 - 58
37 - 55
39 - 50
43 - 54
45 - 53

Grafo 45:
0 - 19
1 - 61
2 - 42
3 - 60
4 - 52
5 - 29
6 - 54
7 - 55
8 - 57
9 - 58
10 - 41
11 - 56
12 - 44
13 - 33
14 - 46
15 - 35
16 - 18
17 - 51
18 - 53
19 - 30
20 - 59
21 - 49
22 - 32
23 - 50
24 - 36
25 - 47
26 - 40
27 - 37
28 - 34
29 - 43
30 - 45
34 - 39
35 - 38
39 - 48

Grafo 46:
0 - 7
1 - 2
2 - 6
3 - 8
4 - 10
5 - 11
6 - 12
7 - 15
9 - 13

Grafo 47:
0 - 36
1 - 56
2 - 70
3 - 32
4 - 67
5 - 43
6 - 79
7 - 66
8 - 19
9 - 80
10 - 46
11 - 59
12 - 75
13 - 51
14 - 28
15 - 73
16 - 68
17 - 38
18 - 47
19 - 77
20 - 64
21 - 78
22 - 35
23 - 55
24 - 34
25 - 48
26 - 60
27 - 31
29 - 63
30 - 76
31 - 69
32 - 65
33 - 61
34 - 50
35 - 39
36 - 74
37 - 54
38 - 57
40 - 62
43 - 58
44 - 52
46 - 49
47 - 53
60 - 72

Grafo 48:
0 - 85
1 - 84
2 - 83
3 - 82
4 - 81
5 - 80
6 - 79
7 - 78
8 - 75
9 - 77
10 - 76
11 - 74
12 - 73
13 - 72
14 - 69
15 - 66
16 - 67
17 - 71
18 - 70
19 - 65
20 - 68
21 - 64
22 - 63
23 - 60
24 - 55
25 - 62
26 - 61
27 - 59
28 - 58
29 - 56
30 - 57
31 - 54
32 - 51
33 - 52
34 - 53
35 - 48
36 - 47
37 - 43
38 - 50
39 - 49
40 - 46
41 - 45
42 - 44

Grafo 49:
0 - 34
1 - 27
2 - 33
3 - 31
4 - 32
5 - 29
6 - 28
7 - 30
8 - 24
9 - 25
10 - 23
11 - 13
12 - 26
13 - 15
14 - 22
15 - 18
16 - 19
17 - 20
18 - 21

Grafo 50:
0 - 56
1 - 50
2 - 55
3 - 53
4 - 51
5 - 33
6 - 57
7 - 38
8 - 58
9 - 39
10 - 23
11 - 35
12 - 45
13 - 28
14 - 54
15 - 25
16 - 48
17 - 47
18 - 40
19 - 22
20 - 43
21 - 31
22 - 26
23 - 52
24 - 30
25 - 46
26 - 34
27 - 42
28 - 41
31 - 49
32 - 44
33 - 36

Grafo 51:
0 - 45
1 - 44
2 - 39
3 - 43
4 - 30
5 - 36
6 - 42
7 - 41
8 - 34
9 - 40
10 - 38
11 - 29
12 - 16
13 - 35
14 - 32
15 - 37
16 - 19
17 - 33
18 - 28
19 - 31
20 - 24
21 - 22
22 - 27
23 - 26

Grafo 52:
0 - 39
1 - 38
2 - 35
3 - 37
4 - 36
5 - 32
6 - 34
7 - 28
8 - 31
9 - 14
10 - 26
11 - 33
12 - 23
13 - 29
14 - 25
15 - 20
16 - 24
17 - 19
18 - 30
19 - 27
20 - 22

Grafo 53:
0 - 81
1 - 47
2 - 79
3 - 91
4 - 26
5 - 57
6 - 62
7 - 78
8 - 86
9 - 53
10 - 84
11 - 63
12 - 83
13 - 70
14 - 80
15 - 65
16 - 71
17 - 76
18 - 41
19 - 55
20 - 58
21 - 89
22 - 37
23 - 31
24 - 56
25 - 87
26 - 88
27 - 42
28 - 60
29 - 52
32 - 75
33 - 39
34 - 73
35 - 40
36 - 68
38 - 64
39 - 90
40 - 72
41 - 43
44 - 74
45 - 69
47 - 77
48 - 50
50 - 51
52 - 59
56 - 66
59 - 85

Grafo 54:
0 - 8
1 - 13
3 - 5
4 - 18
9 - 14
12 - 17

Grafo 55:
0 - 26
1 - 16
2 - 23
3 - 9
4 - 22
5 - 24
6 - 25
7 - 10
8 - 11
9 - 21
10 - 15
11 - 20
12 - 17
14 - 18
15 - 19

Grafo 56:
0 - 15
1 - 9
2 - 14
3 - 12
4 - 13
6 - 8
7 - 10
9 - 11

Grafo 57:

Grafo 58:
0 - 64
1 - 91
2 - 84
3 - 83
4 - 88
5 - 90
6 - 89
7 - 50
8 - 87
9 - 78
10 - 72
11 - 58
12 - 31
13 - 82
14 - 85
15 - 86
16 - 80
17 - 51
18 - 33
19 - 74
20 - 79
21 - 81
22 - 65
23 - 30
24 - 66
25 - 49
26 - 69
27 - 52
28 - 63
29 - 56
30 - 54
31 - 77
32 - 76
33 - 55
34 - 75
35 - 39
36 - 62
37 - 53
38 - 73
39 - 43
40 - 42
41 - 57
42 - 59
43 - 60
44 - 68
45 - 47
50 - 61
51 - 71
56 - 67
61 - 70

Grafo 59:
0 - 42
1 - 45
2 - 68
3 - 35
4 - 55
5 - 40
6 - 27
7 - 31
8 - 26
9 - 17
10 - 32
11 - 18
12 - 71
13 - 49
15 - 75
16 - 69
17 - 74
19 - 47
20 - 44
22 - 62
23 - 64
25 - 30
27 - 33
28 - 43
29 - 65
30 - 63
33 - 38
36 - 54
37 - 60
38 - 48
39 - 72
45 - 73
46 - 58
51 - 66
53 - 56
59 - 67
61 - 70

Grafo 60:
0 - 60
1 - 57
2 - 59
3 - 55
4 - 51
5 - 58
6 - 49
7 - 52
8 - 56
9 - 41
10 - 53
11 - 29
12 - 43
13 - 54
14 - 50
15 - 42
16 - 45
17 - 34
18 - 21
19 - 47
20 - 44
21 - 48
22 - 46
23 - 25
24 - 38
25 - 35
26 - 39
27 - 33
28 - 40
29 - 32
30 - 36

Grafo 61:
0 - 6
1 - 3
2 - 10
5 - 8
7 - 12
9 - 11

Grafo 62:
0 - 2
1 - 5
3 - 4

Grafo 63:
0 - 58
1 - 57
2 - 54
3 - 56
4 - 55
5 - 53
6 - 47
7 - 48
8 - 50
9 - 52
10 - 51
11 - 49
12 - 39
13 - 44
14 - 32
15 - 46
16 - 41
17 - 45
18 - 34
19 - 40
20 - 35
21 - 36
22 - 25
23 - 43
24 - 42
25 - 33
26 - 30
27 - 37
29 - 31
30 - 38

Grafo 64:
0 - 2
1 - 5
2 - 6

Grafo 65:
0 - 28
1 - 4
2 - 62
3 - 54
5 - 38
6 - 24
7 - 22
8 - 60
11 - 36
14 - 55
16 - 26
18 - 56
19 - 48
21 - 25
26 - 37
28 - 61
35 - 41
44 - 51
46 - 50
57 - 58

Grafo 66:
0 - 83
1 - 81
2 - 80
3 - 82
4 - 75
5 - 79
6 - 77
7 - 76
8 - 78
9 - 73
10 - 74
11 - 65
12 - 69
13 - 70
14 - 68
15 - 71
16 - 59
17 - 37
18 - 72
19 - 55
20 - 67
21 - 63
22 - 64
23 - 66
24 - 57
25 - 60
26 - 62
27 - 42
28 - 61
29 - 53
30 - 40
31 - 56
32 - 47
33 - 58
34 - 48
35 - 54
36 - 51
37 - 39
38 - 44
39 - 45
40 - 41
41 - 49
42 - 52
44 - 50

Grafo 67:
0 - 68
1 - 31
2 - 60
3 - 44
4 - 63
5 - 56
6 - 67
7 - 47
8 - 46
9 - 28
10 - 41
11 - 58
12 - 64
13 - 51
14 - 42
15 - 27
16 - 40
17 - 43
18 - 66
19 - 36
20 - 55
21 - 49
23 - 65
24 - 30
25 - 61
27 - 57
28 - 29
29 - 50
30 - 32
32 - 62
33 - 35
34 - 38
35 - 52
36 - 59
37 - 54
38 - 53
42 - 48
44 - 45

Grafo 68:
0 - 86
1 - 83
2 - 84
3 - 82
4 - 85
5 - 73
6 - 71
7 - 78
8 - 80
9 - 79
10 - 74
11 - 64
12 - 75
13 - 76
14 - 58
15 - 81
16 - 70
17 - 46
18 - 68
19 - 66
20 - 27
21 - 77
22 - 69
23 - 56
24 - 43
25 - 34
26 - 67
27 - 62
28 - 49
29 - 63
30 - 50
31 - 72
32 - 59
33 - 57
34 - 60
35 - 55
36 - 61
37 - 65
38 - 42
39 - 48
40 - 47
41 - 52
43 - 51
44 - 53
45 - 54

Grafo 69:

Grafo 70:
0 - 6
1 - 7
2 - 5
3 - 4

Grafo 71:
0 - 7
1 - 21
2 - 17
3 - 19
4 - 20
5 - 11
6 - 18
7 - 14
8 - 10
9 - 16
11 - 12
12 - 13
14 - 15

Grafo 72:
0 - 24
1 - 13
2 - 31
3 - 35
4 - 30
5 - 34
6 - 20
7 - 14
8 - 33
9 - 18
10 - 29
11 - 32
12 - 15
13 - 26
14 - 19
15 - 22
16 - 27
18 - 25
19 - 28
20 - 23

Grafo 73:
0 - 2
1 - 3
5 - 10

Grafo 74:
0 - 68
1 - 67
2 - 66
3 - 61
4 - 63
5 - 65
6 - 64
7 - 57
8 - 55
9 - 49
10 - 58
11 - 60
12 - 40
13 - 62
14 - 45
15 - 39
16 - 53
17 - 59
18 - 56
19 - 52
20 - 54
21 - 50
22 - 42
23 - 48
24 - 51
25 - 30
26 - 41
27 - 47
28 - 29
29 - 38
30 - 36
31 - 37
32 - 43
33 - 44
34 - 46

Grafo 75:
0 - 4
1 - 3

Grafo 76:
0 - 21
1 - 23
2 - 16
3 - 13
4 - 22
5 - 20
6 - 11
7 - 12
9 - 15
10 - 17
11 - 18
12 - 14

Grafo 77:
0 - 32
1 - 40
2 - 12
3 - 48
4 - 41
5 - 29
6 - 39
7 - 31
8 - 19
9 - 45
10 - 38
11 - 18
13 - 46
14 - 21
15 - 26
16 - 47
17 - 20
18 - 24
19 - 35
20 - 30
21 - 44
22 - 28
24 - 37
25 - 43
27 - 42
28 - 34
30 - 33
33 - 36

Grafo 78:
0 - 55
1 - 49
2 - 53
3 - 54
4 - 44
5 - 46
6 - 42
7 - 52
8 - 50
9 - 51
10 - 47
11 - 43
12 - 35
13 - 48
14 - 26
15 - 39
16 - 40
17 - 33
18 - 45
20 - 22
21 - 41
22 - 38
23 - 25
24 - 31
25 - 37
26 - 28
27 - 30
29 - 32
31 - 36
33 - 34

Grafo 79:
0 - 56
1 - 55
2 - 49
3 - 54
4 - 53
5 - 50
6 - 51
7 - 52
8 - 48
9 - 45
10 - 44
11 - 46
12 - 47
13 - 37
14 - 43
15 - 41
16 - 39
17 - 40
18 - 35
19 - 42
20 - 38
21 - 30
22 - 36
23 - 34
24 - 32
25 - 31
26 - 33
27 - 28
28 - 29

Grafo 80:
0 - 2
1 - 5
3 - 6

Grafo 81:
0 - 69
1 - 66
2 - 65
3 - 68
4 - 67
5 - 54
6 - 47
7 - 63
8 - 64
9 - 61
10 - 57
11 - 42
12 - 60
13 - 48
14 - 56
15 - 59
16 - 51
17 - 62
18 - 55
19 - 53
20 - 50
21 - 58
22 - 29
23 - 33
24 - 49
25 - 44
26 - 52
27 - 39
28 - 46
29 - 36
30 - 34
31 - 37
33 - 40
34 - 41
35 - 43
40 - 45

Grafo 82:
0 - 93
1 - 92
2 - 91
3 - 88
4 - 85
5 - 90
6 - 89
7 - 87
8 - 86
9 - 83
10 - 84
11 - 82
12 - 78
13 - 74
14 - 77
15 - 81
16 - 80
17 - 71
18 - 79
19 - 76
20 - 73
21 - 75
22 - 69
23 - 68
24 - 70
25 - 72
26 - 62
27 - 63
28 - 59
29 - 58
30 - 65
31 - 66
32 - 67
33 - 64
34 - 61
35 - 48
36 - 52
37 - 57
38 - 55
39 - 60
40 - 47
41 - 45
42 - 54
43 - 50
44 - 46
45 - 53
46 - 51
47 - 49
48 - 56

Grafo 83:
0 - 97
1 - 72
2 - 42
3 - 31
4 - 91
5 - 33
6 - 55
7 - 82
8 - 73
9 - 71
10 - 93
11 - 80
12 - 95
13 - 88
14 - 96
15 - 51
16 - 47
17 - 76
18 - 77
19 - 94
20 - 65
21 - 86
22 - 69
23 - 90
24 - 79
25 - 81
26 - 87
27 - 70
28 - 30
29 - 44
30 - 62
31 - 92
32 - 46
33 - 85
34 - 78
35 - 54
36 - 48
37 - 68
38 - 41
39 - 84
40 - 57
41 - 53
42 - 58
43 - 75
45 - 74
46 - 63
47 - 59
48 - 67
49 - 64
50 - 56
51 - 89
53 - 61
54 - 83
58 - 60
60 - 66

Grafo 84:
0 - 91
1 - 90
2 - 87
3 - 84
4 - 69
5 - 89
6 - 74
7 - 88
8 - 86
9 - 77
10 - 61
11 - 85
12 - 66
13 - 82
14 - 79
15 - 70
16 - 80
17 - 83
18 - 78
19 - 73
20 - 60
21 - 68
22 - 81
23 - 72
24 - 76
25 - 65
26 - 75
27 - 71
28 - 50
29 - 64
30 - 59
31 - 49
32 - 44
33 - 63
34 - 41
35 - 55
36 - 67
37 - 57
38 - 52
39 - 40
40 - 58
41 - 43
43 - 48
44 - 56
45 - 46
46 - 53
47 - 62
49 - 51
51 - 54

Grafo 85:

Grafo 86:
0 - 75
1 - 62
2 - 74
3 - 73
4 - 65
5 - 24
6 - 71
7 - 66
8 - 67
9 - 59
10 - 63
11 - 68
12 - 70
13 - 72
14 - 69
15 - 49
16 - 53
17 - 54
18 - 56
19 - 35
20 - 44
21 - 27
22 - 43
23 - 38
24 - 34
25 - 64
26 - 52
27 - 55
28 - 45
29 - 51
30 - 58
31 - 48
32 - 36
33 - 60
34 - 50
35 - 40
36 - 47
37 - 61
38 - 42
40 - 46
43 - 57

Grafo 87:
0 - 54
1 - 56
2 - 51
3 - 55
4 - 53
5 - 47
6 - 52
7 - 49
8 - 50
9 - 48
10 - 35
11 - 45
12 - 38
13 - 46
14 - 43
15 - 42
16 - 41
17 - 34
18 - 44
19 - 22
20 - 39
21 - 40
22 - 36
23 - 33
24 - 28
25 - 26
26 - 27
27 - 29
28 - 37
29 - 32
30 - 31

Grafo 88:
0 - 12
1 - 36
2 - 55
3 - 48
4 - 54
5 - 53
6 - 57
7 - 20
8 - 22
9 - 59
10 - 60
11 - 15
12 - 42
13 - 47
14 - 35
15 - 23
16 - 51
17 - 38
18 - 40
19 - 50
20 - 25
21 - 31
22 - 28
23 - 29
24 - 34
25 - 30
26 - 58
30 - 32
31 - 33
32 - 43
33 - 46
39 - 52
40 - 49
41 - 45
