Grafo 0:
14 67
14 20
14 75
14 68
14 16
14 17
14 63
14 43
14 18
14 41
14 25
14 42
14 27
14 45
14 91
14 80
14 92
14 59
14 21
14 44
14 33
14 82
14 24
14 51
14 23
14 36
14 83
14 85
14 32
14 47
14 35
14 38
14 15
14 29
14 46
14 34
15 29
15 42
15 90
15 27
15 70
15 92
15 40
15 55
15 66
15 68
15 18
15 72
15 28
15 30
15 25
15 32
15 20
15 24
15 60
15 16
15 53
15 85
15 88
15 43
15 71
15 63
15 45
15 17
15 64
15 89
15 31
15 93
15 87
15 49
15 58
15 86
15 83
15 50
15 78
15 47
15 74
15 62
15 23
15 39
15 51
15 81
15 76
15 57
15 91
15 77
15 56
15 36
15 65
16 74
16 88
16 79
16 38
16 67
16 76
16 60
16 17
16 39
16 22
16 40
16 57
16 42
16 70
16 64
16 85
16 26
16 80
16 32
16 66
16 53
16 55
16 82
16 73
16 61
16 18
16 27
16 81
16 58
16 65
16 49
16 41
16 29
16 87
16 30
16 28
16 71
16 21
16 69
16 23
16 83
16 33
16 54
16 25
17 42
17 92
17 64
17 91
17 46
17 72
17 45
17 48
17 49
17 86
17 20
17 50
17 41
17 67
17 33
17 87
17 40
17 28
17 79
17 82
17 24
17 38
17 70
17 75
17 21
17 35
17 89
17 37
17 56
17 29
17 88
17 19
17 84
17 69
17 34
17 43
17 26
17 25
17 47
17 73
17 51
17 74
17 78
17 80
18 42
18 39
18 30
18 41
18 91
18 80
18 68
18 52
18 31
18 61
18 93
18 49
18 25
18 60
18 85
18 81
18 69
18 21
18 63
18 40
18 89
18 50
18 48
18 73
18 44
18 82
18 88
18 26
18 92
18 67
18 79
18 36
18 83
18 76
18 86
18 23
18 51
18 20
18 37
18 62
18 58
18 53
19 30
19 86
19 69
19 39
19 53
19 65
19 70
19 36
19 90
19 42
19 48
19 58
19 50
19 63
19 92
19 43
19 82
19 22
19 29
19 66
19 49
19 40
19 28
19 83
19 78
19 60
19 59
19 89
19 34
19 77
19 35
19 25
19 67
19 54
19 57
19 31
19 80
19 93
19 87
19 61
19 79
19 27
20 60
20 82
20 34
20 78
20 73
20 65
20 80
20 77
20 40
20 86
20 37
20 49
20 35
20 84
20 38
20 31
20 39
20 68
20 85
20 23
20 43
20 53
20 72
20 51
20 45
20 61
20 33
20 44
20 57
20 52
20 27
20 62
20 30
20 74
20 55
20 89
20 28
20 50
20 26
20 75
21 47
21 66
21 46
21 53
21 56
21 45
21 62
21 40
21 59
21 70
21 43
21 65
21 64
21 32
21 42
21 48
21 60
21 28
21 91
21 69
21 39
21 34
21 93
21 76
21 52
21 54
21 85
21 35
21 80
21 55
21 88
21 84
21 36
21 72
21 38
21 74
21 81
21 86
21 22
21 23
21 77
22 62
22 83
22 60
22 55
22 70
22 93
22 85
22 32
22 41
22 26
22 63
22 42
22 64
22 33
22 40
22 57
22 52
22 82
22 84
22 91
22 73
22 28
22 36
22 65
22 34
22 78
22 30
22 87
22 43
22 79
22 53
22 25
22 72
22 86
22 23
22 27
22 49
22 69
22 46
22 29
22 61
22 35
22 47
22 90
22 51
22 71
23 33
23 89
23 45
23 52
23 39
23 25
23 66
23 48
23 38
23 51
23 49
23 29
23 46
23 37
23 31
23 80
23 34
23 57
23 44
23 56
23 93
23 71
23 58
23 92
23 26
23 90
23 32
23 53
23 47
23 64
23 62
23 60
23 76
23 68
23 27
23 63
23 79
23 86
23 73
23 35
23 72
24 30
24 75
24 45
24 90
24 43
24 44
24 64
24 89
24 58
24 86
24 35
24 32
24 37
24 77
24 69
24 91
24 51
24 66
24 80
24 84
24 49
24 34
24 52
24 38
24 31
24 46
24 59
24 27
24 40
24 47
24 67
24 71
24 70
25 64
25 81
25 67
25 46
25 74
25 84
25 41
25 43
25 78
25 47
25 63
25 83
25 66
25 35
25 82
25 93
25 61
25 68
25 44
25 28
25 75
25 86
25 32
25 65
25 59
25 90
25 80
25 31
25 60
26 41
26 48
26 73
26 49
26 30
26 45
26 61
26 62
26 35
26 33
26 39
26 71
26 81
26 56
26 82
26 44
26 38
26 69
26 76
26 92
26 89
26 86
26 63
26 47
26 53
26 87
26 79
26 37
27 92
27 31
27 66
27 89
27 85
27 54
27 65
27 43
27 74
27 34
27 29
27 73
27 60
27 68
27 40
27 50
27 93
27 81
27 91
27 83
27 79
27 35
27 38
27 37
27 75
27 71
27 51
27 47
27 52
27 72
27 28
28 87
28 37
28 52
28 50
28 53
28 84
28 49
28 35
28 93
28 80
28 56
28 40
28 71
28 55
28 90
28 39
28 38
28 78
28 54
28 62
28 41
28 30
28 48
28 83
28 29
28 75
28 77
28 60
28 47
28 65
28 34
28 88
28 76
28 42
29 83
29 52
29 69
29 40
29 38
29 51
29 81
29 45
29 56
29 47
29 41
29 78
29 93
29 76
29 32
29 71
29 82
29 42
29 68
29 50
29 34
29 63
29 60
29 86
29 74
29 54
29 91
29 35
29 79
29 92
29 55
29 62
29 46
29 66
30 35
30 89
30 48
30 86
30 57
30 62
30 53
30 93
30 37
30 64
30 72
30 55
30 91
30 34
30 84
30 49
30 66
30 90
30 69
30 40
30 56
30 68
30 88
30 58
30 85
30 36
30 70
30 92
30 59
30 51
30 77
30 78
30 47
30 63
30 71
30 52
31 32
31 40
31 49
31 58
31 87
31 56
31 81
31 38
31 93
31 41
31 92
31 54
31 74
31 72
31 77
31 82
31 33
31 48
31 62
31 44
31 55
31 84
31 35
31 52
31 68
31 45
31 90
31 80
31 73
31 37
31 64
31 69
31 51
31 86
31 47
31 34
31 71
31 67
31 42
31 61
32 85
32 93
32 43
32 81
32 74
32 78
32 51
32 33
32 48
32 60
32 50
32 79
32 92
32 56
32 34
32 66
32 89
32 49
32 67
32 91
32 68
32 35
32 61
32 86
32 36
32 55
32 88
32 75
32 53
32 46
32 62
32 87
32 76
33 74
33 45
33 77
33 62
33 41
33 71
33 39
33 76
33 92
33 34
33 70
33 54
33 91
33 35
33 84
33 66
33 88
33 37
33 83
33 60
33 81
33 55
33 61
33 48
33 43
33 49
33 75
33 56
33 68
33 69
33 82
33 90
33 52
33 79
34 51
34 75
34 92
34 74
34 65
34 59
34 36
34 87
34 88
34 56
34 61
34 66
34 39
34 90
34 35
34 49
34 62
34 40
34 76
34 73
34 45
34 83
34 85
34 50
34 46
34 64
34 77
34 38
34 47
34 43
34 52
34 60
35 91
35 57
35 65
35 79
35 59
35 64
35 93
35 67
35 49
35 58
35 77
35 50
35 54
35 68
35 38
35 83
35 86
35 81
35 41
35 89
35 71
36 37
36 58
36 44
36 59
36 47
36 48
36 46
36 79
36 56
36 65
36 73
36 45
36 83
36 89
36 92
36 60
36 41
36 87
36 39
36 57
36 40
36 91
36 76
36 82
36 50
36 86
36 75
36 43
36 53
36 62
36 38
36 90
36 51
37 69
37 75
37 80
37 93
37 65
37 63
37 39
37 82
37 89
37 57
37 90
37 92
37 64
37 55
37 79
37 71
37 61
37 88
37 40
37 56
37 84
37 85
37 76
37 77
37 54
37 51
37 72
37 44
37 49
37 91
38 53
38 82
38 72
38 67
38 60
38 41
38 89
38 75
38 49
38 88
38 76
38 65
38 83
38 77
38 79
38 71
38 54
38 81
38 57
38 68
38 59
38 39
38 80
38 90
38 52
39 74
39 53
39 55
39 41
39 48
39 56
39 47
39 79
39 49
39 83
39 84
39 63
39 57
39 40
39 85
39 88
39 92
39 45
39 65
39 72
39 62
39 59
39 73
39 89
40 62
40 92
40 42
40 58
40 87
40 71
40 52
40 80
40 86
40 68
40 51
40 85
40 67
40 72
40 74
40 66
40 56
40 48
40 78
40 82
40 63
40 55
40 61
40 45
40 73
40 59
40 54
40 44
41 57
41 87
41 73
41 78
41 67
41 68
41 79
41 81
41 72
41 61
41 50
41 66
41 74
41 51
41 80
41 63
41 58
41 83
41 56
41 59
41 76
41 91
41 92
41 47
41 49
41 69
41 89
41 82
42 91
42 80
42 71
42 67
42 57
42 47
42 86
42 61
42 85
42 90
42 51
42 50
42 93
42 75
42 60
42 62
42 44
42 69
42 89
42 83
42 84
42 77
42 48
42 49
42 65
42 78
42 45
42 87
42 74
42 64
42 73
42 63
42 70
43 54
43 86
43 78
43 58
43 51
43 56
43 59
43 44
43 47
43 55
43 50
43 77
43 60
43 90
43 64
43 80
43 89
43 66
43 70
43 69
43 45
43 76
43 81
44 48
44 55
44 82
44 92
44 90
44 75
44 93
44 61
44 81
44 68
44 72
44 64
44 74
44 67
44 80
44 53
44 71
44 50
44 84
44 89
44 70
44 83
44 63
44 91
44 87
44 86
44 46
44 49
45 50
45 84
45 89
45 78
45 83
45 80
45 79
45 51
45 90
45 71
45 58
45 46
45 75
45 54
45 72
45 85
45 82
45 92
46 62
46 82
46 63
46 86
46 81
46 80
46 69
46 93
46 77
46 70
46 49
46 83
46 87
46 64
46 60
46 78
46 74
46 61
46 50
46 58
46 54
46 85
46 90
46 66
46 52
46 71
46 57
46 73
46 68
46 67
46 59
46 72
47 50
47 90
47 52
47 73
47 93
47 61
47 71
47 78
47 54
47 88
47 76
47 59
47 84
47 56
47 55
47 63
47 91
47 72
47 86
47 57
47 48
47 70
48 60
48 82
48 52
48 66
48 59
48 67
48 86
48 73
48 75
48 49
48 57
48 61
48 62
48 65
48 69
48 91
48 92
48 93
48 85
48 89
48 84
48 63
48 74
48 77
48 71
48 80
48 87
48 64
49 50
49 72
49 82
49 76
49 73
49 57
49 56
49 64
49 69
49 85
49 80
49 83
49 68
49 90
49 63
49 92
49 78
49 91
49 87
49 59
49 79
49 66
49 54
49 55
49 81
49 74
49 61
50 88
50 51
50 81
50 60
50 89
50 54
50 77
50 58
50 76
50 82
50 83
50 86
50 61
50 72
50 93
50 67
50 74
50 73
50 79
50 80
50 52
50 87
50 78
50 56
50 71
50 69
51 54
51 57
51 87
51 68
51 62
51 91
51 84
51 60
51 83
51 58
51 81
51 85
51 86
51 66
51 88
51 79
51 63
51 92
51 70
51 64
51 61
52 59
52 84
52 70
52 72
52 77
52 88
52 65
52 93
52 81
52 85
52 67
52 58
52 92
52 76
52 82
52 63
52 69
52 80
52 75
52 61
52 57
53 56
53 79
53 77
53 82
53 72
53 68
53 59
53 81
53 84
53 69
53 93
53 60
53 54
53 83
53 78
53 67
53 57
53 61
53 58
53 76
53 92
53 89
54 79
54 89
54 74
54 69
54 87
54 68
54 83
54 73
54 82
54 58
54 75
54 64
54 90
54 84
54 92
54 85
54 76
55 70
55 56
55 87
55 76
55 72
55 59
55 63
55 65
55 90
55 91
55 73
55 68
55 61
55 60
55 84
55 86
55 82
55 71
55 66
55 79
56 58
56 78
56 72
56 71
56 75
56 85
56 67
56 70
56 93
56 73
56 59
56 66
56 64
56 88
56 80
56 90
56 60
56 65
56 77
56 83
57 66
57 69
57 74
57 72
57 71
57 58
57 64
57 70
57 87
57 61
57 84
57 78
57 60
57 63
57 88
57 65
57 59
58 81
58 89
58 64
58 85
58 92
58 87
58 80
58 84
58 76
58 78
58 88
58 79
58 59
58 83
58 74
58 62
58 82
59 89
59 87
59 72
59 75
59 81
59 63
59 90
59 65
59 78
59 61
59 60
59 84
59 71
59 64
59 82
59 67
60 72
60 84
60 77
60 87
60 62
60 93
60 73
60 71
60 79
60 92
60 89
60 70
60 74
60 81
60 86
60 75
61 65
61 91
61 77
61 76
61 86
61 84
61 64
61 87
61 74
61 85
61 92
61 68
61 83
61 88
61 82
61 63
61 70
61 62
62 63
62 65
62 79
62 78
62 77
62 89
62 83
62 64
62 73
62 80
62 87
62 75
62 88
62 66
62 71
62 86
63 79
63 88
63 68
63 82
63 86
63 69
63 70
63 92
63 85
63 64
63 77
63 78
63 71
63 76
63 91
63 89
63 84
63 93
64 76
64 90
64 86
64 91
64 77
64 81
64 66
64 71
64 85
64 80
64 72
64 88
64 65
64 92
64 79
64 93
64 78
64 74
64 69
64 89
65 88
65 92
65 75
65 68
65 80
65 78
65 69
65 90
65 70
65 84
65 82
65 76
65 77
65 87
65 83
66 72
66 74
66 88
66 76
66 69
66 90
66 87
66 77
66 83
66 78
66 75
66 68
66 92
66 89
66 79
66 91
66 93
66 71
66 84
67 68
67 79
67 84
67 74
67 83
67 80
67 91
67 86
67 77
67 85
67 93
67 82
67 88
67 73
67 75
68 70
68 88
68 83
68 90
68 92
68 87
68 80
68 86
68 85
68 89
68 74
68 78
68 71
69 91
69 92
69 75
69 70
69 83
69 77
69 80
69 73
69 84
69 76
69 81
69 82
69 88
69 90
70 77
70 91
70 88
70 72
70 93
70 78
70 76
70 86
71 87
71 82
71 90
71 78
71 81
71 72
71 86
71 74
71 88
71 73
71 93
71 85
71 89
72 86
72 81
72 75
72 91
72 78
72 89
72 84
72 85
72 76
73 81
73 76
73 85
73 83
73 92
73 87
73 86
73 91
73 90
73 84
74 92
74 78
74 88
74 91
74 82
74 89
74 75
74 76
75 80
75 91
75 83
75 77
75 86
75 85
75 88
75 93
75 79
75 78
76 84
76 92
76 78
76 82
76 90
76 85
76 77
76 87
76 88
76 80
77 86
77 83
77 92
77 85
77 78
77 91
77 90
78 79
78 87
78 92
78 85
78 81
78 88
78 83
78 90
78 84
78 80
78 82
79 93
79 84
79 85
79 89
79 80
80 83
80 87
80 85
80 89
80 84
80 92
81 89
81 86
81 93
81 83
81 87
81 84
82 91
82 84
82 85
82 90
82 83
83 89
83 86
83 85
83 93
83 90
83 88
83 91
84 87
84 89
84 92
84 86
84 91
85 89
85 86
85 90
85 92
85 91
87 93
87 92
87 91
87 90
88 90
88 92
89 92
89 93
92 93

Grafo 2:
Vertices: 82
Arestas:
0 34
0 62
0 19
0 56
0 80
0 73
0 53
0 79
0 7
0 23
0 14
0 30
0 64
0 37
0 69
0 81
0 65
0 42
0 16
0 72
0 9
1 77
1 61
1 46
1 31
1 80
1 49
1 9
1 35
1 81
1 12
1 33
1 14
1 6
1 44
1 47
1 62
2 66
2 67
2 22
2 57
2 6
2 23
2 48
2 41
2 31
2 79
2 17
2 8
2 72
2 50
2 9
2 24
2 35
2 80
2 77
3 75
3 36
3 48
3 12
3 80
3 35
3 58
3 13
3 44
3 64
3 55
4 62
4 25
4 37
4 48
4 18
4 56
4 17
4 19
4 44
4 10
4 24
4 80
4 32
5 28
5 34
5 26
5 9
5 13
5 74
5 71
5 19
5 7
5 57
5 80
5 77
5 67
6 58
6 24
6 30
6 81
6 79
6 7
6 28
6 38
6 9
6 63
6 44
6 77
6 26
6 60
6 16
6 25
7 61
7 8
7 22
7 52
7 15
7 12
7 65
7 43
7 29
7 80
7 30
7 35
7 18
7 42
8 59
8 50
8 65
8 69
8 47
8 62
8 58
8 12
8 49
8 42
8 51
8 16
8 66
8 29
8 44
9 26
9 68
9 58
9 52
9 36
9 65
9 16
9 14
9 63
10 76
10 55
10 69
10 19
10 51
10 45
10 12
10 52
10 63
10 54
11 43
11 64
11 71
11 31
11 22
11 35
11 76
11 70
11 32
11 42
11 15
11 61
11 59
12 41
12 27
12 39
12 74
12 72
12 24
12 53
12 59
12 15
12 55
12 51
12 16
12 56
12 19
12 22
12 73
13 30
13 45
13 70
13 51
13 42
13 26
13 71
13 61
14 21
14 16
14 75
14 44
14 41
14 79
14 35
14 18
14 55
14 67
14 49
14 37
14 59
14 29
15 32
15 76
15 42
15 36
15 37
15 23
15 22
15 75
15 51
16 42
16 23
16 69
16 71
16 44
16 59
16 45
16 48
16 63
16 49
16 27
16 75
17 54
17 39
17 19
17 59
17 41
17 30
17 61
17 48
17 20
17 49
17 23
17 73
18 45
18 75
18 55
18 39
18 21
18 37
18 35
18 49
18 78
18 77
18 53
18 41
18 48
19 59
19 33
19 25
19 23
19 37
19 57
19 60
19 20
19 63
19 61
20 66
20 43
20 26
20 67
20 69
20 73
20 30
20 60
20 31
20 55
20 34
21 45
21 68
21 72
21 81
21 34
21 53
21 76
21 78
21 23
21 36
21 28
22 75
22 53
22 23
22 65
22 76
22 51
22 27
22 71
22 44
22 35
22 69
22 39
23 79
23 48
23 25
23 75
23 35
23 60
23 29
23 30
23 39
23 73
23 51
23 28
24 64
24 80
24 77
24 42
24 79
24 48
24 61
24 67
24 43
24 60
25 53
25 45
25 31
25 42
25 68
25 77
25 40
25 79
25 65
26 30
26 69
26 45
26 67
26 35
26 78
26 33
26 50
26 70
26 52
26 27
27 66
27 70
27 78
27 56
27 57
27 50
27 43
28 36
28 55
28 58
28 70
28 48
28 63
28 51
28 42
28 45
28 68
28 72
28 77
29 81
29 39
29 34
29 75
30 71
30 44
30 57
30 56
30 76
30 79
30 52
30 72
30 74
30 59
31 44
31 57
31 66
31 75
31 41
31 46
31 51
31 37
32 58
32 71
32 37
32 61
32 62
32 36
32 78
32 38
32 49
32 74
32 52
32 40
32 42
32 81
33 52
33 78
33 40
33 45
33 50
33 39
33 37
33 58
33 34
34 81
34 68
34 52
34 45
34 62
34 78
34 36
34 77
34 35
34 71
35 36
35 71
35 55
35 81
35 67
35 57
35 50
36 76
36 74
36 62
36 47
36 57
37 71
37 69
37 75
37 46
37 43
38 39
38 42
38 73
38 43
38 75
38 62
38 45
38 46
39 41
39 72
39 48
39 80
39 56
39 76
39 44
39 68
40 70
40 66
40 60
40 76
40 44
40 58
40 71
40 45
40 65
41 81
41 56
41 68
41 55
41 43
41 45
41 71
42 79
42 56
42 50
42 48
43 72
43 66
43 76
43 53
43 63
43 60
43 80
43 68
43 46
43 81
43 44
44 53
44 58
44 69
44 50
44 71
45 51
45 48
45 75
45 70
45 58
46 75
46 65
46 67
46 60
46 48
47 50
47 57
47 76
47 58
47 77
48 73
48 61
48 50
48 75
48 66
49 71
49 66
49 79
49 72
49 75
49 63
50 67
50 77
50 57
51 56
51 53
51 61
51 70
51 72
52 69
52 79
52 65
52 64
52 77
53 74
53 67
53 54
53 68
53 81
53 56
53 78
54 76
54 59
54 62
54 58
54 71
54 67
55 61
55 67
55 75
55 59
55 76
55 66
56 61
56 59
56 81
56 63
56 60
56 57
57 68
57 79
57 77
57 59
58 67
58 63
58 81
58 73
58 80
58 62
59 79
59 69
59 73
59 67
59 68
60 75
60 64
61 70
61 76
61 72
61 69
61 75
61 67
62 78
62 64
62 70
63 66
63 74
63 76
63 67
64 75
64 78
64 74
64 67
64 80
64 66
65 76
66 71
66 79
66 69
67 81
67 70
67 78
67 68
68 78
68 79
69 77
69 79
70 72
70 75
70 77
71 80
71 78
71 81
71 75
72 77
72 73
73 81
73 77
77 79
78 80
79 80
80 81

Grafo 3:
Vertices: 10
Arestas:
0 5
0 2
1 5
1 8
2 8
2 5
2 4
2 9
2 7
3 8
3 7
4 8
4 6
6 7
6 8
8 9

Grafo 4:
Vertices: 53
Arestas:
0 14
0 19
0 11
0 51
0 42
0 17
0 48
0 41
0 28
0 31
0 22
0 10
1 6
1 41
1 23
1 32
1 45
1 29
1 21
1 49
1 48
1 50
1 3
1 33
1 34
1 19
1 10
1 30
1 42
1 38
1 11
2 52
2 10
2 27
2 26
2 6
2 36
2 30
2 49
2 40
2 21
2 45
2 24
2 51
2 8
3 17
3 10
3 38
3 22
3 32
3 40
3 4
3 31
3 14
3 50
4 25
4 30
4 27
4 5
4 13
4 48
4 24
4 41
4 22
4 9
4 6
4 31
4 36
4 11
4 10
5 40
5 48
5 50
5 23
5 19
5 35
5 36
5 9
5 18
5 43
5 28
5 44
5 12
5 10
5 16
5 33
5 37
6 35
6 49
6 36
6 10
6 31
6 11
6 18
6 38
6 20
6 47
7 28
7 14
7 21
7 52
7 10
7 24
7 29
7 18
7 20
7 38
7 25
7 39
7 42
8 39
8 15
8 22
8 47
8 14
8 50
8 12
8 23
8 41
9 39
9 11
9 27
9 34
9 20
9 23
9 25
9 45
9 38
9 26
9 47
10 15
10 30
10 39
10 51
10 48
10 36
10 41
10 49
10 52
10 27
10 38
10 16
11 13
11 28
11 15
11 46
11 48
11 34
11 42
11 35
11 20
12 24
12 43
12 18
12 49
12 28
12 21
12 30
12 19
12 20
12 31
12 22
13 14
13 38
13 35
13 48
13 23
13 30
13 49
13 15
13 36
13 47
13 37
13 17
13 32
14 38
14 44
14 33
14 47
14 40
14 18
14 31
14 39
14 17
14 45
14 50
14 35
14 41
15 25
15 28
15 40
15 18
15 27
15 23
15 17
15 34
15 24
16 43
16 21
16 46
16 30
16 49
16 41
16 18
16 29
16 42
16 37
16 52
16 40
16 19
16 39
17 20
17 51
17 30
17 24
17 38
17 45
17 36
17 44
17 34
17 40
18 38
18 35
18 43
18 42
18 22
18 36
18 30
18 29
18 23
18 21
18 39
18 24
19 41
19 20
19 24
19 49
19 27
19 48
19 29
19 40
19 21
19 42
19 45
19 30
19 47
19 33
20 23
20 24
20 52
20 21
20 37
20 22
20 48
21 51
21 48
21 32
21 42
21 45
21 37
21 49
21 36
21 25
21 46
21 47
21 34
21 22
22 37
22 23
22 32
22 27
22 45
22 36
23 24
23 44
23 41
23 36
23 49
23 52
23 27
23 29
24 30
24 48
24 29
24 39
24 35
25 41
25 49
25 37
25 31
25 52
25 40
25 33
25 30
26 47
26 31
26 32
26 37
27 46
27 49
27 33
27 48
27 36
27 44
27 45
27 40
27 35
28 48
28 49
28 41
28 29
28 38
28 44
28 36
28 35
29 37
29 52
29 48
29 32
29 45
29 49
30 50
30 43
30 48
30 37
30 47
31 37
31 47
31 46
31 39
31 35
31 49
32 44
32 39
33 52
33 50
33 43
33 34
34 35
34 47
34 40
34 37
35 51
35 48
35 40
35 44
35 49
35 38
35 39
36 39
36 43
36 51
36 52
36 42
37 51
37 50
38 44
38 42
38 40
38 47
38 46
39 44
40 45
40 41
40 46
41 48
41 51
41 50
41 49
41 45
41 42
42 46
42 49
42 47
42 44
43 49
43 44
43 47
44 50
45 51
45 52
46 51
49 52
50 51
51 52

Grafo 5:
Vertices: 24
Arestas:
1 20
1 15
1 6
1 14
1 21
1 4
2 10
3 7
4 19
5 18
5 13
6 12
6 19
6 14
6 23
7 10
7 16
